coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
12;0.6901;0.563;0.16;0.0978;0.2659;
13;0.1373;0.8817;0.154;0.1208;0.0093;
14;0.421;1.2368;0.0368;0.1843;0.2024;
15;1.0263;0.1444;0.0014;0.0284;0.2043;
16;0.0853;0.1249;0.0111;0.1541;0.3324;
17;0.2941;0.0794;0.2166;0.1469;0.0339;
18;3.3014;0.0082;0.784;0.02;0.0219;
19;0.1822;0.0359;0.1824;0.5184;0.0095;
20;0.0457;0.5663;0.0504;0.0517;0.1004;
21;1.2597;0.1586;0.2344;0.0043;0.2021;
22;0.0463;0.5289;0.0284;0.064;0.2897;
23;0.399;0.4956;0.0663;0.0599;0.0022;
24;0.2941;0.0794;0.2166;0.1469;0.0339;
25;0.421;1.2368;0.0368;0.1843;0.2024;
26;0.1966;0.1252;0.5196;1.3274;0.0329;
27;3.6339;0.1102;1.1953;0.2367;0.144;
28;0.1602;0.0503;0.9028;0.0005;1.1058;
29;0.1112;0.1623;0.0163;0.1669;1.0268;
30;0.9288;3.9532;1.6829;0.2708;0.9901;
31;1.3357;0.9748;0.0033;0.5195;0.1785;
32;0.0518;0.2746;0.3962;0.4246;0.7501;
33;0.8265;0.1265;0.533;0.2285;1.9853;
34;0.2941;0.0794;0.2166;0.1469;0.0339;
35;0.1466;2.1185;0.0088;0.0636;0.5;
36;1.4219;0.5414;2.2325;7.5374;1.432;
37;0.3604;4.1838;0.0108;0.3333;0.3533;
38;0.2122;0.0029;1.3694;0.2285;0.049;
39;0.0607;1.1633;0.055;1.7881;1.2627;
40;0.014;0.3443;0.1513;0.4008;0.93;
41;0.0275;0.1748;2.3785;8.2755;0.9636;
42;1.5823;0.0252;5.0527;0.3329;0.1725;
43;1.1022;0.003;0.1718;0.1963;0.2688;
44;0.2477;0.5356;0.3187;0.0132;0.1195;
45;0.0041;1.6688;0.4274;0.8092;0.1597;
46;0.4419;0.1467;0.1089;1.2299;0.0146;
47;0.3319;0.0214;0.0771;0.391;0.0181;
48;0.0892;1.1281;0.3814;0.0145;0.2139;
49;0.0701;0.674;0.0013;0.0835;0.0103;
50;0.2941;0.0794;0.2166;0.1469;0.0339;
51;2.4033;0.0011;3.6021;0.2479;7.7061;
52;1.0267;0.8638;0.0005;0.2311;0.6911;
53;1.1284;0.0051;0;0.4376;0.0869;
54;0.2418;0.0021;4.749;0.0789;0.1784;
55;5.4257;0.2453;0.2441;0.3435;0.3592;
56;1.2524;0.2631;0.0134;1.1532;0.0024;
